"customer_id","age","salary","spending_score","time_as_customer","loyalty_member","state","gender"
1,28,49898.34,0.47,19.12,"No","Pennsylvania","Female"
2,80,47496.93,0.85,0.32,"No","Nevada","Male"
3,73,67434.12,0.67,1.17,"No","Florida","Male"
4,60,50429.75,0.63,7.96,"No","Pennsylvania","Female"
5,50,44920.68,0.93,0.04,"No","Illinois","Other"
6,63,90014.19,0.69,2.51,"No","New Jersey","Female"
7,70,71283.71,0.1,17.07,"No","Oklahoma","Male"
8,81,40882.03,0.1,19.4,"No","Illinois","Male"
9,87,43228.09,0.19,11.1,"No","Minnesota","Female"
10,34,43178.81,0.05,2.82,"No","Mississippi","Female"
11,64,34235.43,0.25,0.34,"No","New York","Female"
12,66,60060.97,0.75,18.57,"No","Massachusetts","Other"
13,89,29828.76,0.72,7.87,"No","Oregon","Male"
14,43,39737.31,0.88,9.8,"No","Washington","Other"
15,63,40828.42,0.03,13.91,"No","Alaska","Male"
16,70,40579.78,0.94,7.03,"No","Nevada","Female"
17,57,51254.32,0.01,12.35,"No","Tennessee","Male"
18,83,61985.61,0.83,10.04,"No","Ohio","Other"
19,56,64932.11,0.81,19.8,"No","Iowa","Female"
20,28,51634.4,0.63,10.11,"No","Indiana","Male"
21,60,58259.06,0.89,17.72,"No","Texas","Other"
22,45,43325.91,0.51,3.72,"No","South Carolina","Male"
23,58,45273.39,0.37,4.94,"No","Illinois","Other"
24,70,41405.57,0.83,4.43,"No","Minnesota","Male"
25,70,29617.91,0.09,15.94,"No","Minnesota","Other"
26,68,58789.5,0.16,0.6,"No","Nebraska","Female"
27,87,43095.01,0.41,10.97,"No","Montana","Male"
28,23,59639.92,0.68,15.12,"No","New York","Other"
29,67,63026.75,0.74,1.52,"No","Montana","Other"
30,53,42332.28,0.82,3.55,"No","Georgia","Female"
31,54,70634.86,0.4,16.98,"No","Hawaii","Female"
32,47,35816.37,0.35,10.06,"No","Utah","Male"
33,69,62625.96,0.19,9.25,"No","West Virginia","Male"
34,90,66480.62,0.08,10.52,"No","Louisiana","Female"
35,19,29145.44,0.31,5.15,"No","West Virginia","Male"
